gt,pred,n,gt_name,pred_name
49,11,0,Sparisoma viride FI,Cephalopholis cruentata
49,12,0,Sparisoma viride FI,Chaetodon capistratus
49,13,0,Sparisoma viride FI,Chaetodon ocellatus
49,14,0,Sparisoma viride FI,Chaetodon sedentarius
49,15,0,Sparisoma viride FI,Chaetodon striatus
49,16,0,Sparisoma viride FI,Chromis scotti
49,17,0,Sparisoma viride FI,Diodon spp
49,18,0,Sparisoma viride FI,Epinephelus spp
49,19,0,Sparisoma viride FI,Ginglymostoma cirratum
49,2,0,Sparisoma viride FI,Acanthurus chirurgus
49,20,0,Sparisoma viride FI,Haemulon flavolineatum
49,21,0,Sparisoma viride FI,Haemulon juvenil
49,22,0,Sparisoma viride FI,Haemulon plumierii
49,23,0,Sparisoma viride FI,Haemulon plumierii juvenil
49,24,0,Sparisoma viride FI,Haemulon sciurus
49,25,0,Sparisoma viride FI,Halichoeres spp
49,26,0,Sparisoma viride FI,Holacanthus spp
49,27,0,Sparisoma viride FI,Kyphosus spp
49,28,0,Sparisoma viride FI,Lachnolaimus maximus
49,29,0,Sparisoma viride FI,Lutjanus analis
49,3,0,Sparisoma viride FI,Acanthurus coeruleus
49,30,0,Sparisoma viride FI,Lutjanus griseus
49,31,0,Sparisoma viride FI,Lutjanus jocu
49,32,0,Sparisoma viride FI,Mycteroperca spp
49,33,0,Sparisoma viride FI,Nicholsina usta
49,34,0,Sparisoma viride FI,Ocyurus chrysurus
49,35,0,Sparisoma viride FI,Pomacanthus arcuatus
49,36,0,Sparisoma viride FI,Pomacanthus paru
49,37,0,Sparisoma viride FI,Rhomboplites aurorubens
49,38,0,Sparisoma viride FI,Scarus coelestinus
49,39,0,Sparisoma viride FI,Scarus coeruleus
49,4,0,Sparisoma viride FI,Anisotremus virginicus
49,40,0,Sparisoma viride FI,Scarus guacamaia
49,41,0,Sparisoma viride FI,Scarus iseri
49,42,0,Sparisoma viride FI,Scarus juvenil
49,43,0,Sparisoma viride FI,Scarus taeniopterus
49,44,0,Sparisoma viride FI,Scarus vetula
49,45,0,Sparisoma viride FI,Sparisoma aurofrenatum
