class,class_type,split,images_containing_class,preaugmentation_source_images_containing_class,annotated_object_instances,percent_exported_images_SAMP,percent_exported_images_iNaturalist,percent_exported_images_UNKNOWN_REVIEW,percent_source_images_SAMP,percent_source_images_iNaturalist,percent_source_images_UNKNOWN_REVIEW,bbox_area_fraction_min,bbox_area_fraction_q25,bbox_area_fraction_median,bbox_area_fraction_q75,bbox_area_fraction_max,bbox_area_fraction_mean,present_in_all_three_splits,training_source_image_rank,low_training_representation_lower_quartile,source_dependence
Epinephelus spp,genus_level_group,test,10,10,29,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00096451,0.00684799,0.08016855,0.19649402,0.49490620,0.12677197,True,44,False,iNaturalist-predominant
Ginglymostoma cirratum,species_level,train,216,54,460,96.29629630,3.70370370,0.00000000,96.29629630,3.70370370,0.00000000,0.00006932,0.02094787,0.02320843,0.02601755,0.45898438,0.03287063,True,18,False,SAMP-predominant
Ginglymostoma cirratum,species_level,valid,10,10,22,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00034361,0.02134422,0.02619237,0.05165383,0.15342882,0.04604517,True,18,False,SAMP-predominant
Ginglymostoma cirratum,species_level,test,10,10,22,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00202546,0.02300347,0.02350080,0.02613209,0.15602394,0.03144619,True,18,False,SAMP-predominant
Haemulon flavolineatum,species_level,train,272,68,1000,5.88235294,94.11764706,0.00000000,5.88235294,94.11764706,0.00000000,0.00000603,0.00497323,0.01349254,0.03273293,0.63472041,0.04393491,True,26,False,iNaturalist-predominant
Haemulon flavolineatum,species_level,valid,9,9,17,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00010248,0.00317383,0.08772184,0.27701823,0.34905478,0.12764973,True,26,False,iNaturalist-predominant
Haemulon flavolineatum,species_level,test,9,9,33,11.11111111,88.88888889,0.00000000,11.11111111,88.88888889,0.00000000,0.00023208,0.00467183,0.02311801,0.03714856,0.38075087,0.05299477,True,26,False,iNaturalist-predominant
Haemulon juvenil,life_stage_or_initial_phase,train,4100,1025,124136,98.43902439,1.56097561,0.00000000,98.43902439,1.56097561,0.00000000,0.00000301,0.00033758,0.00065104,0.00135634,0.05330404,0.00140918,True,50,False,SAMP-predominant
Haemulon juvenil,life_stage_or_initial_phase,valid,13,13,405,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00007837,0.00059076,0.00101876,0.00218822,0.02276235,0.00223329,True,50,False,SAMP-predominant
Haemulon juvenil,life_stage_or_initial_phase,test,9,9,130,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00019592,0.00204505,0.00360635,0.00711625,0.04282407,0.00551447,True,50,False,SAMP-predominant
Haemulon plumierii,species_level,train,4240,1060,26668,98.58490566,1.41509434,0.00000000,98.58490566,1.41509434,0.00000000,0.00000000,0.00266445,0.00518422,0.01011224,0.44867019,0.00913757,True,51,False,SAMP-predominant
Haemulon plumierii,species_level,valid,11,11,60,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00021701,0.00332604,0.00758644,0.01851098,0.08804736,0.01401774,True,51,False,SAMP-predominant
Haemulon plumierii,species_level,test,15,15,74,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00055459,0.00527615,0.00981837,0.01587668,0.12771267,0.01528799,True,51,False,SAMP-predominant
Haemulon plumierii juvenil,life_stage_or_initial_phase,train,240,60,848,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00018084,0.00168186,0.00278501,0.00498228,0.07291667,0.00540981,True,22,False,SAMP-predominant
Haemulon plumierii juvenil,life_stage_or_initial_phase,valid,10,10,20,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00176324,0.00288448,0.00417149,0.00575991,0.07015275,0.01134018,True,22,False,SAMP-predominant
Haemulon plumierii juvenil,life_stage_or_initial_phase,test,10,10,23,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00031346,0.00198628,0.00286941,0.00465073,0.02194252,0.00462858,True,22,False,SAMP-predominant
Haemulon sciurus,species_level,train,372,93,1300,33.33333333,66.66666667,0.00000000,33.33333333,66.66666667,0.00000000,0.00001206,0.00509380,0.00905129,0.02610798,0.42300829,0.03020849,True,35,False,mixed_or_unknown
Haemulon sciurus,species_level,valid,11,11,51,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00003014,0.00939188,0.03525270,0.05843551,0.40504437,0.05013216,True,35,False,mixed_or_unknown
Haemulon sciurus,species_level,test,10,10,24,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00030141,0.00561674,0.01295754,0.05087544,0.38518458,0.05152610,True,35,False,mixed_or_unknown
Halichoeres spp,genus_level_group,train,232,58,660,27.58620690,72.41379310,0.00000000,27.58620690,72.41379310,0.00000000,0.00001206,0.00160651,0.00412628,0.02357313,0.37904490,0.03479792,True,20,False,mixed_or_unknown
Halichoeres spp,genus_level_group,valid,10,10,22,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00007837,0.00768892,0.03940611,0.07248791,0.55120322,0.08452225,True,20,False,mixed_or_unknown
Halichoeres spp,genus_level_group,test,10,10,17,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00030141,0.01760827,0.05810547,0.12333623,0.34323158,0.09019587,True,20,False,mixed_or_unknown
Holacanthus spp,genus_level_group,train,1120,280,2820,61.42857143,38.57142857,0.00000000,61.42857143,38.57142857,0.00000000,0.00000603,0.00369225,0.00961492,0.04012346,0.68229167,0.05260734,True,45,False,mixed_or_unknown
Holacanthus spp,genus_level_group,valid,11,11,26,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00006330,0.00646068,0.02555489,0.04538454,0.25423177,0.04046544,True,45,False,mixed_or_unknown
Holacanthus spp,genus_level_group,test,11,11,23,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00225453,0.00443070,0.01046489,0.01565514,0.02803096,0.01131028,True,45,False,mixed_or_unknown
Kyphosus spp,genus_level_group,train,344,86,1520,46.51162791,53.48837209,0.00000000,46.51162791,53.48837209,0.00000000,0.00000000,0.00247984,0.00644561,0.03801209,0.47070915,0.03958113,True,33,False,mixed_or_unknown
Kyphosus spp,genus_level_group,valid,10,10,43,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00012358,0.00466580,0.01332224,0.02514196,0.29049720,0.03023916,True,33,False,mixed_or_unknown
Kyphosus spp,genus_level_group,test,12,12,48,58.33333333,41.66666667,0.00000000,58.33333333,41.66666667,0.00000000,0.00019893,0.00256046,0.00533040,0.04929832,0.41570819,0.04620820,True,33,False,mixed_or_unknown
Lachnolaimus maximus,species_level,train,276,69,928,44.92753623,55.07246377,0.00000000,44.92753623,55.07246377,0.00000000,0.00000000,0.00349407,0.01093961,0.04498517,0.54564525,0.06771010,True,28,False,mixed_or_unknown
Lachnolaimus maximus,species_level,valid,10,10,34,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00018084,0.00334262,0.01577872,0.03369141,0.47674033,0.06831266,True,28,False,mixed_or_unknown
Lachnolaimus maximus,species_level,test,10,10,36,30.00000000,70.00000000,0.00000000,30.00000000,70.00000000,0.00000000,0.00000000,0.00111672,0.00985002,0.05704300,0.33757716,0.05294771,True,28,False,mixed_or_unknown
Lutjanus analis,species_level,train,140,35,352,14.28571429,85.71428571,0.00000000,14.28571429,85.71428571,0.00000000,0.00002411,0.02325439,0.08769170,0.22166160,0.64820240,0.13999745,True,8,True,iNaturalist-predominant
Lutjanus analis,species_level,valid,10,10,28,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00010549,0.00250470,0.02548406,0.15922565,0.42170320,0.08630048,True,8,True,iNaturalist-predominant
Lutjanus analis,species_level,test,10,10,26,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000904,0.00187627,0.03903537,0.15364885,0.64287351,0.11472986,True,8,True,iNaturalist-predominant
Lutjanus griseus,species_level,train,1360,340,11796,98.82352941,1.17647059,0.00000000,98.82352941,1.17647059,0.00000000,0.00000603,0.00196217,0.00407504,0.00736039,0.18297285,0.00685007,True,47,False,SAMP-predominant
Lutjanus griseus,species_level,valid,10,10,95,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00024715,0.00301408,0.00506969,0.00777935,0.10476948,0.00794293,True,47,False,SAMP-predominant
Lutjanus griseus,species_level,test,11,11,94,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00000000,0.00271267,0.00476225,0.00656467,0.04498517,0.00695230,True,47,False,SAMP-predominant
Lutjanus jocu,species_level,train,160,40,428,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00845450,0.05944674,0.16584081,0.54151596,0.10467334,True,14,False,iNaturalist-predominant
Lutjanus jocu,species_level,valid,10,10,21,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00052445,0.00752315,0.05772569,0.14510995,0.36666606,0.10351046,True,14,False,iNaturalist-predominant
Lutjanus jocu,species_level,test,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00125386,0.02857350,0.11832682,0.23808760,0.35597512,0.13538310,True,14,False,iNaturalist-predominant
Mycteroperca spp,genus_level_group,train,716,179,2004,1.67597765,98.32402235,0.00000000,1.67597765,98.32402235,0.00000000,0.00000000,0.00807473,0.05642361,0.16254340,0.68803952,0.11221899,True,43,False,iNaturalist-predominant
Mycteroperca spp,genus_level_group,valid,10,10,23,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00049732,0.02907534,0.10508898,0.23182810,0.39687922,0.13651589,True,43,False,iNaturalist-predominant
Mycteroperca spp,genus_level_group,test,10,10,24,20.00000000,80.00000000,0.00000000,20.00000000,80.00000000,0.00000000,0.00070530,0.00758192,0.07144881,0.12038770,0.33094618,0.08976639,True,43,False,iNaturalist-predominant
Nicholsina usta,species_level,train,236,59,704,20.33898305,79.66101695,0.00000000,20.33898305,79.66101695,0.00000000,0.00000000,0.00414286,0.01405768,0.06491428,0.43635163,0.06802533,True,21,False,iNaturalist-predominant
Nicholsina usta,species_level,valid,10,10,34,40.00000000,60.00000000,0.00000000,40.00000000,60.00000000,0.00000000,0.00061186,0.00331549,0.00505914,0.04370569,0.38416281,0.05857895,True,21,False,iNaturalist-predominant
Nicholsina usta,species_level,test,10,10,25,20.00000000,80.00000000,0.00000000,20.00000000,80.00000000,0.00000000,0.00107603,0.01075726,0.02287688,0.06958912,0.40852865,0.06967231,True,21,False,iNaturalist-predominant
Ocyurus chrysurus,species_level,train,1316,329,4316,95.74468085,4.25531915,0.00000000,95.74468085,4.25531915,0.00000000,0.00000000,0.00177228,0.00358073,0.00812295,0.10603238,0.00764381,True,46,False,SAMP-predominant
Ocyurus chrysurus,species_level,valid,13,13,92,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00076256,0.00413532,0.01070602,0.02249108,0.10300926,0.01555741,True,46,False,SAMP-predominant
Ocyurus chrysurus,species_level,test,13,13,46,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00030744,0.00125235,0.00427397,0.01384066,0.10443191,0.01313334,True,46,False,SAMP-predominant
Pomacanthus arcuatus,species_level,train,252,63,752,34.92063492,65.07936508,0.00000000,34.92063492,65.07936508,0.00000000,0.00000603,0.00501166,0.03132234,0.09559010,0.66821289,0.07813302,True,24,False,mixed_or_unknown
Pomacanthus arcuatus,species_level,valid,10,10,37,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00006932,0.01645387,0.03612076,0.06747323,0.42498553,0.07292033,True,24,False,mixed_or_unknown
Pomacanthus arcuatus,species_level,test,10,10,26,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00045211,0.01448568,0.03071952,0.13343415,0.42132041,0.08255350,True,24,False,mixed_or_unknown
Pomacanthus paru,species_level,train,260,65,736,38.46153846,55.38461538,6.15384615,38.46153846,55.38461538,6.15384615,0.00000000,0.00415340,0.01898269,0.07697136,0.61197917,0.06418238,True,25,False,mixed_or_unknown
Pomacanthus paru,species_level,valid,10,10,32,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00018084,0.00377589,0.01326196,0.09175769,0.56774149,0.06891331,True,25,False,mixed_or_unknown
Pomacanthus paru,species_level,test,10,10,21,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00070530,0.01067588,0.02281057,0.05958237,0.42381004,0.05558326,True,25,False,mixed_or_unknown
Rhomboplites aurorubens,species_level,train,120,30,1740,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00037375,0.00491898,0.01034433,0.02886285,0.56475453,0.03980128,True,1,True,iNaturalist-predominant
Rhomboplites aurorubens,species_level,valid,10,10,107,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00106096,0.00767385,0.01417824,0.03319710,0.58854167,0.05705477,True,1,True,iNaturalist-predominant
Rhomboplites aurorubens,species_level,test,10,10,58,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00021701,0.01236376,0.03611624,0.09516285,0.36588542,0.07809621,True,1,True,iNaturalist-predominant
Scarus coelestinus,species_level,train,276,69,768,40.57971014,59.42028986,0.00000000,40.57971014,59.42028986,0.00000000,0.00000301,0.00984701,0.03279622,0.08717327,0.78079789,0.07997744,True,28,False,mixed_or_unknown
Scarus coelestinus,species_level,valid,10,10,24,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00019893,0.00706425,0.03918457,0.13911042,0.48113788,0.11232152,True,28,False,mixed_or_unknown
